Country,Happiness,GINI,Unemployment,Antidepressants,Institutional_Trust,Social_Connection,inprdsc,ppltrst,trstplt,stfdem,sclmeet,sclact,Cluster
Austria,7.178699990590413,30.3,5.3534999999999995,61.38333333333333,0.6802349046489679,0.6561637108892381,3.1068795413376864,5.521869542917461,4.233610294707479,6.41398560555885,5.02114777547642,2.869785681496757,0
Belgium,6.894583353042603,27.183333333333334,6.708666666666666,80.11666666666666,0.2793896358227877,0.24292311322875149,3.182153340145187,5.166133849768457,4.258311850685582,5.405061091495093,5.154710075571607,2.6472946516825604,0
Czechia,6.7739833526611335,25.45,3.1173333333333333,60.583333333333336,0.026843918817436797,-0.4989076720156241,2.193951220846031,4.963565891914503,3.6139691343419424,5.4966835749202625,4.636700468752185,2.714735392683415,0
Denmark,7.5780999736785875,28.083333333333332,5.648833333333333,77.45,1.7694779668353557,1.2234276043866668,3.3542199488491047,7.063137755102041,5.201153106982703,7.340645161290323,5.472947167409293,2.9305466237942124,0
Estonia,5.828466673533121,31.016666666666666,5.997166666666668,30.75,0.2735901725310789,-1.0654512535089558,2.3683570995603422,5.606387112873078,3.885440803698633,5.321413939594704,4.216987724547945,2.5416418120133515,2
Finland,7.655616680781047,27.28333333333333,8.108166666666667,73.53333333333333,1.3605200735490257,0.308098966195679,3.106164383561644,6.94017094017094,4.901611047180667,6.414862492685781,4.970923603192702,2.7386819484240688,0
France,6.559133293787639,31.75,9.210333333333333,52.5,-0.42323095376564174,0.6644501656587641,2.7079552714771085,4.675111266846034,3.5353062574982546,4.361908582918634,5.187244296304468,2.9309891367668697,1
Germany,7.0209666570027665,31.766666666666666,3.8208333333333333,58.46666666666667,0.39773007553932027,0.543752420550919,3.6017268445786543,5.399324960653955,3.9649136690320264,5.886477089659006,4.852685164773157,2.7423616584821184,0
Hungary,5.639900011062622,30.516666666666666,4.568333333333333,29.116666666666664,-0.17580614658843052,-1.6647048018277903,2.3117599181416404,4.840672649611037,3.9854282282466467,4.514838141335229,3.3281061925740016,2.5288067229380338,2
Iceland,7.508749985376993,26.71666666666667,3.564666666666666,139.79999999999998,0.9863005359833782,1.0882524488984318,3.3925201484082397,6.568067078200928,4.491467321410662,6.010432784458994,5.363987959462893,2.8922574824827,0
Italy,6.172400025049845,35.25,10.734833333333334,41.266666666666666,-0.3323228184152028,-0.18738323640021862,2.143136633378066,4.783022838617541,3.03913992599547,5.118942633776255,4.793738171295713,2.817027959110049,1
Latvia,5.877499968210857,34.9,8.342166666666666,15.683333333333335,-0.7966457753954056,-1.2087857025575697,2.1507202540615538,4.364192700582521,2.7433526881604804,4.3270129690289245,4.623845003183468,2.4354850922107767,1
Lithuania,6.047749979654949,36.68333333333333,7.490666666666667,32.13333333333333,-0.38447531920316685,-0.826160851608731,2.0045529003463876,4.674662231984485,3.2123000516818787,4.863059279018051,4.1823033643620935,2.7393604111883794,1
Netherlands,7.426316703796387,28.03333333333333,4.791166666666666,46.666666666666664,1.2931048132146827,1.0318965133281877,3.5485117197911724,6.206410612227698,5.389101552192429,6.44230917595661,5.432442938870243,2.813280952157378,0
Norway,7.5104999860127775,27.78333333333333,4.174833333333333,57.61666666666667,1.6563026368901497,1.2278694960743934,3.300117167483696,6.760004021691612,5.279966183668397,7.198775864966758,5.671620874565995,2.896501278966884,0
Portugal,5.543483352661133,34.25,8.763166666666667,110.39999999999999,-0.6643447123077028,0.18039129475286428,2.685217411183443,4.060518081920542,2.7467222053364733,5.11383983983488,5.638833304147508,2.624647493667123,1
Slovakia,6.193100011825561,24.55,8.056166666666668,42.53333333333333,-0.7689420495625279,-1.1992099318142906,1.9649627395330338,3.9232614072390137,3.2530715409540565,4.3307880018196805,4.569948172855403,2.4989162025973486,2
Slovenia,6.069399997075398,24.566666666666666,6.341833333333334,60.550000000000004,-0.7900932539184501,-0.30777895400257,2.7503816793893128,4.483650190114068,2.6702536510376635,4.300238284352661,4.609458428680397,2.6623376623376624,2
Spain,6.386649981180827,35.1,17.301166666666667,79.45,-0.4926826778169897,0.2804656582182603,3.0569386762928,5.0884382435976745,2.5531928019673957,4.783244254418847,5.262116455335938,2.66721827701863,1
Sweden,7.324749981562296,29.3,7.1048333333333344,98.53333333333335,1.1696826270428378,1.308414579048809,3.7143790849673204,6.325718015665796,4.909803921568628,6.432147562582345,5.412109375,2.891361256544503,0
United Kingdom,6.922583372751872,33.03333333333333,4.539333333333333,104.31666666666666,-0.053464978156637775,0.12152109802446077,3.1640385862241884,5.194146656132243,3.5145301379351093,5.078650572343458,4.8006696402696125,2.6895185357879714,0
