Country,Year,Happiness,GINI,Unemployment,Antidepressants,Cluster,Cluster_label
Austria,2015,7.119,30.5,5.802,60.3,0,Cluster 0
Austria,2016,7.006,30.8,6.064,60.5,0,Cluster 0
Austria,2017,7.139,29.7,5.561,61.0,0,Cluster 0
Austria,2018,7.246,30.8,4.933,61.3,0,Cluster 0
Austria,2019,7.29419994354248,30.2,4.56,62.0,0,Cluster 0
Austria,2020,7.268,29.8,5.201,63.2,0,Cluster 0
Belgium,2015,6.929,27.7,8.482,77.5,0,Cluster 0
Belgium,2016,6.891,27.6,7.83,79.0,0,Cluster 0
Belgium,2017,6.927,27.4,7.09,78.8,0,Cluster 0
Belgium,2018,6.923,27.2,5.941,79.7,0,Cluster 0
Belgium,2019,6.86350011825562,27.2,5.364,81.9,0,Cluster 0
Belgium,2020,6.834,26.0,5.545,83.8,0,Cluster 0
Czechia,2015,6.596,25.9,5.048,55.0,0,Cluster 0
Czechia,2016,6.609,25.4,3.952,57.1,0,Cluster 0
Czechia,2017,6.711,24.9,2.893,59.9,0,Cluster 0
Czechia,2018,6.852,25.0,2.246,61.4,0,Cluster 0
Czechia,2019,6.9109001159668,25.3,2.015,64.4,0,Cluster 0
Czechia,2020,6.965,26.2,2.55,65.7,0,Cluster 0
Denmark,2015,7.526,28.2,6.278,77.0,0,Cluster 0
Denmark,2016,7.522,28.2,5.989,76.4,0,Cluster 0
Denmark,2017,7.555,28.7,5.833,75.7,0,Cluster 0
Denmark,2018,7.6,28.2,5.131,76.6,0,Cluster 0
Denmark,2019,7.64559984207153,27.7,5.018,78.3,0,Cluster 0
Denmark,2020,7.62,27.5,5.644,80.7,0,Cluster 0
Estonia,2015,5.517,32.7,6.412,24.8,2,Cluster 2
Estonia,2016,5.611,31.2,6.882,27.2,2,Cluster 2
Estonia,2017,5.739,30.4,5.807,28.8,2,Cluster 2
Estonia,2018,5.893,30.3,5.412,31.9,2,Cluster 2
Estonia,2019,6.02180004119873,30.8,4.514,34.8,2,Cluster 2
Estonia,2020,6.189,30.7,6.956,37.0,2,Cluster 2
Finland,2015,7.413,27.1,9.376,68.3,0,Cluster 0
Finland,2016,7.469,27.1,8.818,67.7,0,Cluster 0
Finland,2017,7.632,27.4,8.64,70.5,0,Cluster 0
Finland,2018,7.769,27.3,7.361,74.9,0,Cluster 0
