STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,facility,Health facility,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1988,,1273.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1989,,1201.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1990,,1269.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1991,,1299.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1992,,1302.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1993,,1021.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1994,,997.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1995,,977.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1996,,977.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1997,,938.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1998,,910.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,1999,,935.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,2000,,915.00,,,,,
dataflow,ESTAT:HLTH_RS_BDS(1.0),Hospital beds by type of care - historical data (1960-2020),A,Annual,NR,Number,HBEDI_PSY,Psychiatric care beds in hospitals (HP.1),AL,Albania,2001,,910.00,,,,,
