STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,med_spec,Medical speciality,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,AT,Austria,2015,,17.63,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,AT,Austria,2016,,19.01,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,AT,Austria,2017,,19.07,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,AT,Austria,2019,,20.14,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,AT,Austria,2020,,20.72,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BE,Belgium,2015,,17.12,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BE,Belgium,2016,,17.28,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BE,Belgium,2017,,17.27,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BE,Belgium,2018,,17.23,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BE,Belgium,2019,,17.06,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BE,Belgium,2020,,17.18,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BG,Bulgaria,2015,,9.92,,,,,
dataflow,ESTAT:HLTH_RS_SPEC(1.0),Physicians by medical speciality - historical data (1985-2016),A,Annual,P_HTHAB,Per hundred thousand inhabitants,PSY,Psychiatrists,BG,Bulgaria,2016,,9.99,,,,,
