COUNTRY,STATION,SOUID,YEAR,ANNUAL,WINTER_HALF_YEAR,SUMMER_HALF_YEAR,WINTER_DJF,SPRING_MAM,SUMMER_JJA,AUTUMN_SON,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER
Austria,KREMSMUENSTER (TAWES),11,2010,40.09,24.35,56.74,14.41,48.39,65.16,31.74,7.98,21.46,46.91,68.94,29.97,56.47,79.44,59.3,46.36,31.02,17.86,14.54
Austria,KREMSMUENSTER (TAWES),11,2011,47.34,26.33,66.34,18.54,68.57,61.53,41.32,14.25,27.71,52.45,71.61,81.75,57.72,51.88,74.87,59.89,45.32,18.61,10.67
Austria,KREMSMUENSTER (TAWES),11,2012,44.22,28.36,63.23,17.64,60.3,66.88,30.62,18.44,24.22,52.31,58.75,69.78,70.92,52.9,76.96,49.75,28.95,13.22,13.63
Austria,KREMSMUENSTER (TAWES),11,2013,39.1,18.0,57.59,9.92,40.73,73.77,30.37,4.01,12.35,35.13,43.08,44.06,62.14,89.78,69.01,36.44,40.91,13.39,16.26
Austria,KREMSMUENSTER (TAWES),11,2014,40.24,29.35,54.95,21.05,50.66,65.34,24.6,10.48,38.04,57.31,46.56,47.98,85.42,63.28,47.96,38.69,24.11,11.0,12.5
Austria,KREMSMUENSTER (TAWES),11,2015,44.03,20.15,62.1,16.2,45.83,77.44,31.46,10.3,26.85,36.51,62.86,38.68,64.94,85.32,81.64,38.5,27.72,28.28,25.73
Austria,KREMSMUENSTER (TAWES),11,2016,42.73,26.23,64.32,22.42,48.43,67.36,37.31,16.29,25.43,33.98,52.28,59.17,63.47,68.71,69.76,72.36,22.31,17.75,11.32
Austria,KREMSMUENSTER (TAWES),11,2017,44.71,24.48,63.44,19.42,54.1,76.12,28.35,20.08,27.65,47.88,37.25,76.64,85.14,69.87,73.66,37.11,34.33,13.42,11.72
Austria,KREMSMUENSTER (TAWES),11,2018,47.67,20.85,71.46,15.19,59.09,72.13,44.62,12.8,21.67,31.02,77.53,69.3,58.53,79.97,77.45,65.56,46.05,22.19,8.49
Austria,KREMSMUENSTER (TAWES),11,2019,43.35,29.29,59.8,21.44,47.66,70.22,30.21,16.4,41.34,42.23,61.0,40.19,90.08,65.46,55.75,46.92,32.77,10.86,18.2
Austria,KREMSMUENSTER (TAWES),11,2020,43.31,25.8,63.29,20.92,58.45,65.65,30.21,17.12,27.87,47.63,82.31,46.18,55.44,76.83,64.35,54.72,19.01,17.28,11.1
Austria,KREMSMUENSTER (TAWES),11,2021,42.57,22.33,60.31,18.48,47.22,65.83,38.35,8.76,37.41,41.72,55.19,45.0,87.33,62.74,48.12,64.28,38.25,12.53,10.59
Austria,KREMSMUENSTER (TAWES),11,2022,,12.8,,5.36,,,29.02,1.83,3.48,9.19,8.03,,,,,36.36,34.54,15.97,13.31
Austria,KREMSMUENSTER (TAWES),11,2023,43.3,23.43,60.37,16.86,40.89,66.75,46.5,9.52,29.38,38.41,33.4,50.19,77.5,64.08,58.92,75.5,41.85,22.31,17.8
